timestamp,engine_rpm,coolant_temp,vehicle_speed,throttle_position,engine_load,fuel_level,intake_air_temp,maf_rate,fuel_pressure,battery_voltage,fault_codes,vehicle_info
2026-01-14T08:00:00,0,25,0,0,0,85,15,0,0,12.6,,2018 Toyota Camry
2026-01-14T08:00:15,750,28,0,5,12,85,16,8,320,13.8,,2018 Toyota Camry
2026-01-14T08:01:00,780,45,0,6,14,85,18,10,325,13.9,,2018 Toyota Camry
2026-01-14T08:02:00,800,62,0,5,13,85,20,9,330,14.0,,2018 Toyota Camry
2026-01-14T08:03:00,820,78,0,5,15,85,22,11,335,14.1,,2018 Toyota Camry
2026-01-14T08:04:00,850,88,0,6,16,84,24,12,340,14.0,,2018 Toyota Camry
2026-01-14T08:05:00,1200,90,25,18,28,84,26,45,345,13.9,,2018 Toyota Camry
2026-01-14T08:06:00,1800,91,45,32,42,83,28,85,348,13.8,,2018 Toyota Camry
2026-01-14T08:07:00,2200,92,60,45,55,82,30,120,350,13.7,,2018 Toyota Camry
2026-01-14T08:08:00,2500,93,75,52,62,81,31,145,352,13.6,,2018 Toyota Camry
2026-01-14T08:09:00,2800,94,85,58,68,80,32,165,354,13.5,,2018 Toyota Camry
2026-01-14T08:10:00,3000,95,95,65,72,79,33,185,355,13.4,,2018 Toyota Camry
2026-01-14T08:11:00,3200,96,100,68,75,78,34,195,356,13.3,,2018 Toyota Camry
2026-01-14T08:12:00,2800,97,90,55,65,77,33,160,354,13.4,,2018 Toyota Camry
2026-01-14T08:13:00,2200,96,70,42,52,76,32,115,350,13.5,,2018 Toyota Camry
2026-01-14T08:14:00,1500,95,50,28,38,75,31,70,346,13.6,,2018 Toyota Camry
2026-01-14T08:15:00,1000,94,30,15,22,74,30,35,342,13.7,,2018 Toyota Camry
2026-01-14T08:16:00,850,93,0,6,16,74,29,12,340,13.8,,2018 Toyota Camry
2026-01-14T08:17:00,880,94,0,5,14,74,28,11,338,13.9,,2018 Toyota Camry
2026-01-14T08:18:00,1100,95,20,16,25,73,29,38,342,13.8,,2018 Toyota Camry
2026-01-14T08:19:00,1600,96,40,30,40,72,30,75,346,13.7,,2018 Toyota Camry
2026-01-14T08:20:00,2000,97,55,42,52,71,31,105,350,13.6,,2018 Toyota Camry
2026-01-14T08:21:00,2400,98,70,55,62,70,32,140,353,13.5,,2018 Toyota Camry
2026-01-14T08:22:00,2600,99,80,60,68,69,33,155,355,13.4,,2018 Toyota Camry
2026-01-14T08:23:00,2900,100,88,64,72,68,34,175,356,13.3,,2018 Toyota Camry
2026-01-14T08:24:00,3100,101,95,68,76,67,35,190,357,13.2,,2018 Toyota Camry
2026-01-14T08:25:00,3400,103,102,72,80,66,36,210,358,13.1,P0420,2018 Toyota Camry
2026-01-14T08:26:00,3600,105,108,76,84,65,37,225,359,13.0,P0420,2018 Toyota Camry
2026-01-14T08:27:00,3200,106,100,68,78,64,36,195,357,12.9,P0420,2018 Toyota Camry
2026-01-14T08:28:00,2800,107,90,58,70,63,35,165,354,12.8,P0420,2018 Toyota Camry
2026-01-14T08:29:00,2400,108,75,48,60,62,34,135,350,12.7,"P0420,P0300",2018 Toyota Camry
2026-01-14T08:30:00,2000,109,60,38,50,61,33,100,346,12.6,"P0420,P0300",2018 Toyota Camry
2026-01-14T08:31:00,1600,110,45,28,40,60,32,72,342,12.5,"P0420,P0300,P0171",2018 Toyota Camry
2026-01-14T08:32:00,1200,112,30,18,28,59,31,48,338,12.4,"P0420,P0300,P0171",2018 Toyota Camry
2026-01-14T08:33:00,900,108,0,6,16,59,30,14,335,12.5,"P0420,P0300,P0171",2018 Toyota Camry
2026-01-14T08:34:00,850,105,0,5,14,58,29,12,336,12.6,P0420,2018 Toyota Camry
2026-01-14T08:35:00,820,102,0,5,13,58,28,11,337,12.7,P0420,2018 Toyota Camry
2026-01-14T08:36:00,800,99,0,5,12,58,27,10,338,12.8,,2018 Toyota Camry
2026-01-14T08:37:00,780,96,0,5,12,57,26,10,339,12.9,,2018 Toyota Camry
2026-01-14T08:38:00,0,94,0,0,0,57,25,0,0,12.8,,2018 Toyota Camry
