timestamp,engine_rpm,coolant_temp,vehicle_speed,throttle_position,engine_load,fuel_level,intake_air_temp,maf_rate,fuel_pressure,battery_voltage,fault_codes,vehicle_info
2026-01-20T09:00:00,0,22,0,0,0,78,18,0,0,12.5,,2019 Ford F-150
2026-01-20T09:00:15,680,24,0,4,10,78,18,7,315,13.6,,2019 Ford F-150
2026-01-20T09:01:00,720,38,0,5,12,78,19,9,320,13.8,,2019 Ford F-150
2026-01-20T09:02:00,750,52,0,5,13,78,20,10,325,14.0,,2019 Ford F-150
2026-01-20T09:03:00,760,68,0,5,14,78,21,10,328,14.1,,2019 Ford F-150
2026-01-20T09:04:00,780,82,0,5,14,78,22,11,332,14.0,,2019 Ford F-150
2026-01-20T09:05:00,800,88,0,6,15,77,23,12,335,13.9,,2019 Ford F-150
2026-01-20T09:06:00,1100,90,20,15,24,77,24,32,340,13.8,,2019 Ford F-150
2026-01-20T09:07:00,1400,91,35,22,32,76,25,55,345,13.7,,2019 Ford F-150
2026-01-20T09:08:00,1700,91,45,28,38,76,26,75,348,13.7,,2019 Ford F-150
2026-01-20T09:09:00,2000,92,55,35,45,75,27,95,350,13.6,,2019 Ford F-150
2026-01-20T09:10:00,2200,92,65,42,52,74,28,115,352,13.6,,2019 Ford F-150
2026-01-20T09:11:00,2400,93,72,48,58,74,28,130,354,13.5,,2019 Ford F-150
2026-01-20T09:12:00,2500,93,78,52,62,73,29,142,355,13.5,,2019 Ford F-150
2026-01-20T09:13:00,2600,94,82,55,65,72,29,150,356,13.4,,2019 Ford F-150
2026-01-20T09:14:00,2500,94,78,52,62,72,29,142,355,13.5,,2019 Ford F-150
2026-01-20T09:15:00,2400,94,75,48,58,71,29,132,354,13.5,,2019 Ford F-150
2026-01-20T09:16:00,2500,94,78,52,62,70,29,142,355,13.5,,2019 Ford F-150
2026-01-20T09:17:00,2600,94,82,55,65,70,30,150,356,13.4,,2019 Ford F-150
2026-01-20T09:18:00,2500,95,78,52,62,69,30,142,355,13.5,,2019 Ford F-150
2026-01-20T09:19:00,2400,95,75,48,58,68,30,132,354,13.5,,2019 Ford F-150
2026-01-20T09:20:00,2500,95,78,52,62,68,30,142,355,13.5,,2019 Ford F-150
2026-01-20T09:21:00,2300,95,72,45,55,67,30,125,353,13.5,,2019 Ford F-150
2026-01-20T09:22:00,2000,94,60,38,48,66,29,100,350,13.6,,2019 Ford F-150
2026-01-20T09:23:00,1700,94,50,30,40,66,29,78,346,13.6,,2019 Ford F-150
2026-01-20T09:24:00,1400,93,40,22,32,65,28,55,342,13.7,,2019 Ford F-150
2026-01-20T09:25:00,1100,93,25,15,24,65,28,35,338,13.7,,2019 Ford F-150
2026-01-20T09:26:00,850,92,0,5,15,64,27,12,335,13.8,,2019 Ford F-150
2026-01-20T09:27:00,800,92,0,5,14,64,27,11,334,13.9,,2019 Ford F-150
2026-01-20T09:28:00,780,91,0,5,13,64,26,10,333,13.9,,2019 Ford F-150
2026-01-20T09:29:00,760,90,0,5,13,64,26,10,332,14.0,,2019 Ford F-150
2026-01-20T09:30:00,0,88,0,0,0,64,25,0,0,12.6,,2019 Ford F-150
